"Response ID","Submitted Date & Time","Age","Gender","Occupation","Monthly Household Income","Q1. Current Situation","Q2. Primary Purpose","Q3. Preferred Vehicle Type","Q4. Factor (Rank 1-8) - Price","Q4. Factor (Rank 1-8) - Safety","Q4. Factor (Rank 1-8) - Fuel Efficiency","Q4. Factor (Rank 1-8) - Reliability","Q4. Factor (Rank 1-8) - After-sales Service","Q4. Factor (Rank 1-8) - Brand Reputation","Q4. Factor (Rank 1-8) - Maintenance Cost","Q4. Factor (Rank 1-8) - Resale Value","Q5. Source (Rank 1-9) - Family members","Q5. Source (Rank 1-9) - Friends/Relatives","Q5. Source (Rank 1-9) - Social media","Q5. Source (Rank 1-9) - YouTube","Q5. Source (Rank 1-9) - Online reviews","Q5. Source (Rank 1-9) - Automobile websites","Q5. Source (Rank 1-9) - Dealer showroom","Q5. Source (Rank 1-9) - Newspaper/Magazine","Q5. Source (Rank 1-9) - Auto exhibitions/events","Q6. Most Likely Automobile Brand","Q7. Challenge (Rank 1-10) - High purchase price","Q7. Challenge (Rank 1-10) - High taxes/import duties","Q7. Challenge (Rank 1-10) - Limited financing options","Q7. Challenge (Rank 1-10) - High maintenance costs","Q7. Challenge (Rank 1-10) - Fuel costs","Q7. Challenge (Rank 1-10) - Availability of spare parts","Q7. Challenge (Rank 1-10) - Limited vehicle availability","Q7. Challenge (Rank 1-10) - Poor after-sales service","Q7. Challenge (Rank 1-10) - Charging infrastructure (for EVs)","Q7. Challenge (Rank 1-10) - Low resale value","# Consider purchasing an Electric Vehicle (EV)","Q8. EV Factor (Rank 1-7) - Lower running costs","Q8. EV Factor (Rank 1-7) - Government incentives","Q8. EV Factor (Rank 1-7) - Better charging infrastructure","Q8. EV Factor (Rank 1-7) - Longer driving range","Q8. EV Factor (Rank 1-7) - Environmental benefits","Q8. EV Factor (Rank 1-7) - Lower purchase price","Q8. EV Factor (Rank 1-7) - Faster charging","Q9. Preferred Brand","Q9. Preferred Model","Q10. Brand Importance","Q11. Brand Attribute (Rank 1-11) - Reliability and durability","Q11. Brand Attribute (Rank 1-11) - Vehicle quality","Q11. Brand Attribute (Rank 1-11) - Safety","Q11. Brand Attribute (Rank 1-11) - Fuel efficiency","Q11. Brand Attribute (Rank 1-11) - Value for money","Q11. Brand Attribute (Rank 1-11) - Resale value","Q11. Brand Attribute (Rank 1-11) - After-sales service","Q11. Brand Attribute (Rank 1-11) - Availability of spare parts","Q11. Brand Attribute (Rank 1-11) - Innovative technology","Q11. Brand Attribute (Rank 1-11) - Design and styling","Q11. Brand Attribute (Rank 1-11) - Environmentally friendly (Hybrid/EV)","Q12. Approach when choosing brand","Q13. What makes brand trustworthy in Nepal (Open-ended)","Q14. WhatsApp Number for Gift Hamper"
"KOBO-834328351","08/09/2026, 05:30:00 PM","25–34","Male","Private Sector Employee","NPR 50,000–100,000","I have no immediate plans to purchase a four-wheeler.","Family use","SUV","Rank 7","Rank 4","Rank 5","Rank 3","Rank 6","Rank 8","Rank 2","Rank 1","Rank 5","Rank 2","Rank 4","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 3","Ford","Rank 10","Rank 9","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ford","Na","Very Important","Rank 4","Rank 5","Rank 9","Rank 3","Rank 10","Rank 6","Rank 11","Rank 8","Rank 7","Rank 2","Rank 1","I compare several brands before making a decision.","N",""
"KOBO-836755049","08/11/2026, 07:55:00 PM","Below 25","Male","Self-employed / Freelancer","Below NPR 50,000","I currently own a four-wheeler.","Family use","SUV","Rank 5","Rank 7","Rank 8","Rank 6","Rank 4","Rank 3","Rank 2","Rank 1","Rank 1","Rank 2","Rank 4","Rank 3","Rank 5","Rank 7","Rank 9","Rank 8","Rank 6","BYD","Rank 1","Rank 2","Rank 10","Rank 9","Rank 6","Rank 3","Rank 5","Rank 4","Rank 7","Rank 8","Yes","Rank 1","Rank 7","Rank 2","Rank 3","Rank 6","Rank 4","Rank 5","BYD","Sealion 7","Moderately Important","Rank 3","Rank 1","Rank 2","Rank 7","Rank 4","Rank 5","Rank 6","Rank 8","Rank 11","Rank 10","Rank 9","I choose the brand that offers the best value for money.","Cost and after sales service",""
"RESP-1001","08/10/2026, 01:45:00 PM","25–34","Female","Private Sector Employee","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Family use","Electric Vehicle (EV)","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","BYD","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","BYD","Atto 3","Very Important","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","I choose the brand that offers the best value for money.","Reliable high-voltage battery warranty (8+ years), quick DC fast-charging network on Prithvi and BP highways, and easy availability of certified EV technicians.","9841100000"
"RESP-1002","08/11/2026, 02:52:13 PM","35–44","Male","Business Owner / Entrepreneur","Above NPR 200,000","I currently own a four-wheeler.","Personal transportation","Compact SUV","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","BYD","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","BYD","Dolphin","Important","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","I usually stick to a brand I trust.","Low electricity cost per km compared to petrol, transparent pricing from authorized distributors (like CG Motors, Sipradi), and consistent software updates.","9851187654"
"RESP-1003","08/12/2026, 03:59:26 PM","Below 25","Male","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Commuting to work/business","SUV","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","BYD","Seal","Moderately Important","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","I am willing to try a new or emerging brand.","Good ground clearance for Nepal's hilly roads, strong regenerative braking, and solid customer service responsiveness.","9801275308"
"RESP-1004","08/13/2026, 05:06:39 PM","45–54","Male","Government Employee","Below NPR 50,000","I have owned a four-wheeler in the past.","Long-distance / Highway travel","Hatchback","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Tata","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Tata","Nexon.ev","Slightly Important","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","I compare several brands before making a decision.","Availability of local spare parts without waiting months, prompt roadside assistance during highway breakdowns, and fair buyback resale value.","9860362962"
"RESP-1005","08/14/2026, 06:13:52 PM","55 and above","Male","Self-Employed / Freelancer","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Commercial / Business use","Sedan","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Tata","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Yes","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Tata","Tiago.ev","Very Important","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","I choose the brand that offers the best value for money.","Proven safety crash ratings, trusted brand backing with multiple service centers outside Kathmandu (Pokhara, Butwal, Biratnagar, Chitwan).","9818450616"
"RESP-1006","08/15/2026, 07:20:05 PM","25–34","Female","Student","Above NPR 200,000","I currently own a four-wheeler.","Family use","Electric Vehicle (EV)","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Tata","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Tata","Punch.ev","Important","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","I usually stick to a brand I trust.","Strong authorized dealer network, transparent service costs, and proven battery thermal management during cold mountain winters and hot Terai summers.","9843538270"
"RESP-1007","08/16/2026, 08:27:18 PM","35–44","Male","Private Sector Employee","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Personal transportation","Compact SUV","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","MG","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","MG","ZS EV","Moderately Important","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","I am willing to try a new or emerging brand.","Reliable high-voltage battery warranty (8+ years), quick DC fast-charging network on Prithvi and BP highways, and easy availability of certified EV technicians.","9851625924"
"RESP-1008","08/17/2026, 09:34:31 PM","Below 25","Male","Business Owner / Entrepreneur","Below NPR 50,000","I have owned a four-wheeler in the past.","Commuting to work/business","SUV","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","MG","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","MG","Comet EV","Slightly Important","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","I compare several brands before making a decision.","Low electricity cost per km compared to petrol, transparent pricing from authorized distributors (like CG Motors, Sipradi), and consistent software updates.","9802713578"
"RESP-1009","08/18/2026, 10:41:44 PM","45–54","Male","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Long-distance / Highway travel","Hatchback","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Hyundai","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Yes","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Hyundai","Ioniq 5","Very Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I choose the brand that offers the best value for money.","Good ground clearance for Nepal's hilly roads, strong regenerative braking, and solid customer service responsiveness.","9861801232"
"RESP-1010","08/19/2026, 10:48:57 PM","55 and above","Male","Government Employee","Above NPR 200,000","I currently own a four-wheeler.","Commercial / Business use","Sedan","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Hyundai","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Yes","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Hyundai","Kona Electric","Important","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","I usually stick to a brand I trust.","Availability of local spare parts without waiting months, prompt roadside assistance during highway breakdowns, and fair buyback resale value.","9849888886"
"RESP-1011","08/10/2026, 11:55:10 PM","25–34","Female","Self-Employed / Freelancer","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Family use","Electric Vehicle (EV)","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Kia","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Kia","EV6","Moderately Important","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","I am willing to try a new or emerging brand.","Proven safety crash ratings, trusted brand backing with multiple service centers outside Kathmandu (Pokhara, Butwal, Biratnagar, Chitwan).","9841976540"
"RESP-1012","08/12/2026, 01:02:23 AM","35–44","Male","Student","Below NPR 50,000","I have owned a four-wheeler in the past.","Personal transportation","Compact SUV","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","BYD","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","BYD","Atto 3","Slightly Important","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","I compare several brands before making a decision.","Strong authorized dealer network, transparent service costs, and proven battery thermal management during cold mountain winters and hot Terai summers.","9851164194"
"RESP-1013","08/12/2026, 02:09:36 PM","Below 25","Male","Private Sector Employee","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Commuting to work/business","SUV","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","BYD","Dolphin","Very Important","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","I choose the brand that offers the best value for money.","Reliable high-voltage battery warranty (8+ years), quick DC fast-charging network on Prithvi and BP highways, and easy availability of certified EV technicians.","9801251848"
"RESP-1014","08/13/2026, 03:16:49 PM","45–54","Male","Business Owner / Entrepreneur","Above NPR 200,000","I currently own a four-wheeler.","Long-distance / Highway travel","Hatchback","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","BYD","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Yes","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","BYD","Seal","Important","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","I usually stick to a brand I trust.","Low electricity cost per km compared to petrol, transparent pricing from authorized distributors (like CG Motors, Sipradi), and consistent software updates.","9860339502"
"RESP-1015","08/14/2026, 04:23:02 PM","55 and above","Male","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Commercial / Business use","Sedan","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Tata","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Yes","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Tata","Nexon.ev","Moderately Important","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","I am willing to try a new or emerging brand.","Good ground clearance for Nepal's hilly roads, strong regenerative braking, and solid customer service responsiveness.","9818427156"
"RESP-1016","08/15/2026, 05:30:15 PM","25–34","Female","Government Employee","Below NPR 50,000","I have owned a four-wheeler in the past.","Family use","Electric Vehicle (EV)","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Tata","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Tata","Tiago.ev","Slightly Important","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","I compare several brands before making a decision.","Availability of local spare parts without waiting months, prompt roadside assistance during highway breakdowns, and fair buyback resale value.","9843514810"
"RESP-1017","08/16/2026, 06:37:28 PM","35–44","Male","Self-Employed / Freelancer","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Personal transportation","Compact SUV","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Tata","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Tata","Punch.ev","Very Important","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","I choose the brand that offers the best value for money.","Proven safety crash ratings, trusted brand backing with multiple service centers outside Kathmandu (Pokhara, Butwal, Biratnagar, Chitwan).","9851602464"
"RESP-1018","08/17/2026, 07:44:41 PM","Below 25","Male","Student","Above NPR 200,000","I currently own a four-wheeler.","Commuting to work/business","SUV","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","MG","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","MG","ZS EV","Important","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","I usually stick to a brand I trust.","Strong authorized dealer network, transparent service costs, and proven battery thermal management during cold mountain winters and hot Terai summers.","9802690118"
"RESP-1019","08/18/2026, 07:51:54 PM","45–54","Male","Private Sector Employee","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Long-distance / Highway travel","Hatchback","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","MG","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Yes","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","MG","Comet EV","Moderately Important","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","I am willing to try a new or emerging brand.","Reliable high-voltage battery warranty (8+ years), quick DC fast-charging network on Prithvi and BP highways, and easy availability of certified EV technicians.","9861777772"
"RESP-1020","08/19/2026, 08:58:07 PM","55 and above","Male","Business Owner / Entrepreneur","Below NPR 50,000","I have owned a four-wheeler in the past.","Commercial / Business use","Sedan","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Hyundai","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Yes","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Hyundai","Ioniq 5","Slightly Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I compare several brands before making a decision.","Low electricity cost per km compared to petrol, transparent pricing from authorized distributors (like CG Motors, Sipradi), and consistent software updates.","9849865426"
"RESP-1021","08/10/2026, 10:05:20 PM","25–34","Female","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Family use","Electric Vehicle (EV)","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Hyundai","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Hyundai","Kona Electric","Very Important","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","I choose the brand that offers the best value for money.","Good ground clearance for Nepal's hilly roads, strong regenerative braking, and solid customer service responsiveness.","9841953080"
"RESP-1022","08/11/2026, 11:12:33 PM","35–44","Male","Government Employee","Above NPR 200,000","I currently own a four-wheeler.","Personal transportation","Compact SUV","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Kia","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Kia","EV6","Important","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","I usually stick to a brand I trust.","Availability of local spare parts without waiting months, prompt roadside assistance during highway breakdowns, and fair buyback resale value.","9851140734"
"RESP-1023","08/13/2026, 12:19:46 AM","Below 25","Male","Self-Employed / Freelancer","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Commuting to work/business","SUV","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","BYD","Atto 3","Moderately Important","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","I am willing to try a new or emerging brand.","Proven safety crash ratings, trusted brand backing with multiple service centers outside Kathmandu (Pokhara, Butwal, Biratnagar, Chitwan).","9801228388"
"RESP-1024","08/14/2026, 01:26:59 AM","45–54","Other / Prefer not to say","Student","Below NPR 50,000","I have owned a four-wheeler in the past.","Long-distance / Highway travel","Hatchback","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","BYD","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Yes","Rank 6","Rank 7","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","BYD","Dolphin","Slightly Important","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","I compare several brands before making a decision.","Strong authorized dealer network, transparent service costs, and proven battery thermal management during cold mountain winters and hot Terai summers.","9860316042"
"RESP-1025","08/14/2026, 02:33:12 PM","55 and above","Male","Private Sector Employee","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Commercial / Business use","Sedan","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 7","Rank 8","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","BYD","Rank 9","Rank 10","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","BYD","Seal","Very Important","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","I choose the brand that offers the best value for money.","Reliable high-voltage battery warranty (8+ years), quick DC fast-charging network on Prithvi and BP highways, and easy availability of certified EV technicians.","9818403696"
"RESP-1026","08/15/2026, 03:40:25 PM","25–34","Female","Business Owner / Entrepreneur","Above NPR 200,000","I currently own a four-wheeler.","Family use","Electric Vehicle (EV)","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 9","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Tata","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 1","Rank 2","Yes","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 1","Rank 2","Tata","Nexon.ev","Important","Rank 9","Rank 10","Rank 11","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","I usually stick to a brand I trust.","Low electricity cost per km compared to petrol, transparent pricing from authorized distributors (like CG Motors, Sipradi), and consistent software updates.","9843491350"
